timestamp,department_id,arrivals,completions,queue_length,avg_wait_minutes,available_doctors,available_beds
2025-01-01T00:00:00,1,0,1,7,14.0,7,28
2025-01-01T01:00:00,1,4,8,3,11.8,3,29
2025-01-01T02:00:00,1,1,0,4,11.7,4,29
2025-01-01T03:00:00,1,0,0,4,8.0,5,29
2025-01-01T04:00:00,1,8,5,7,29.8,3,28
2025-01-01T05:00:00,1,3,1,9,16.8,7,27
2025-01-01T06:00:00,1,6,5,10,31.9,4,26
2025-01-01T07:00:00,1,4,1,13,39.6,4,25
2025-01-01T08:00:00,1,3,4,12,20.5,7,26
2025-01-01T09:00:00,1,16,14,14,20.7,8,25
2025-01-01T10:00:00,1,10,7,17,31.1,7,24
2025-01-01T11:00:00,1,19,11,25,73.4,4,20
2025-01-01T12:00:00,1,13,8,30,44.2,8,18
2025-01-01T13:00:00,1,13,13,30,50.4,7,18
2025-01-01T14:00:00,1,14,11,33,67.6,6,17
2025-01-01T15:00:00,1,11,8,36,144.2,3,16
2025-01-01T16:00:00,1,12,11,37,146.1,3,16
2025-01-01T17:00:00,1,3,9,31,92.9,4,18
2025-01-01T18:00:00,1,8,6,33,64.2,6,17
2025-01-01T19:00:00,1,4,2,35,58.8,7,16
2025-01-01T20:00:00,1,0,0,35,59.0,7,16
2025-01-01T21:00:00,1,2,0,37,220.8,2,16
2025-01-01T22:00:00,1,4,5,36,106.3,4,16
2025-01-01T23:00:00,1,0,3,33,51.1,8,17
2025-01-02T00:00:00,1,5,3,35,69.2,6,16
2025-01-02T01:00:00,1,3,5,33,198.7,2,17
2025-01-02T02:00:00,1,3,2,34,203.4,2,17
2025-01-02T03:00:00,1,7,7,34,203.1,2,17
2025-01-02T04:00:00,1,0,0,34,69.1,6,17
2025-01-02T05:00:00,1,0,0,34,136.4,3,17
2025-01-02T06:00:00,1,0,3,31,48.0,8,18
2025-01-02T07:00:00,1,3,2,32,47.3,8,18
2025-01-02T08:00:00,1,5,4,33,64.8,6,17
2025-01-02T09:00:00,1,16,14,35,141.9,3,16
2025-01-02T10:00:00,1,14,10,39,65.3,7,15
2025-01-02T11:00:00,1,15,11,43,102.6,5,13
2025-01-02T12:00:00,1,17,13,47,93.0,6,12
2025-01-02T13:00:00,1,18,13,52,87.7,7,10
2025-01-02T14:00:00,1,16,16,52,155.7,4,10
2025-01-02T15:00:00,1,14,9,57,229.2,3,8
2025-01-02T16:00:00,1,15,15,57,226.8,3,8
2025-01-02T17:00:00,1,4,1,60,179.0,4,6
2025-01-02T18:00:00,1,5,7,58,230.1,3,7
2025-01-02T19:00:00,1,1,0,59,353.0,2,7
2025-01-02T20:00:00,1,2,3,58,114.5,6,7
2025-01-02T21:00:00,1,0,0,58,348.7,2,7
2025-01-02T22:00:00,1,2,3,57,96.9,7,8
2025-01-02T23:00:00,1,4,0,61,90.9,8,6
2025-01-03T00:00:00,1,0,0,61,244.4,3,6
2025-01-03T01:00:00,1,1,0,62,94.8,8,6
2025-01-03T02:00:00,1,9,7,64,129.1,6,5
2025-01-03T03:00:00,1,4,6,62,184.1,4,6
2025-01-03T04:00:00,1,4,0,66,158.8,5,4
2025-01-03T05:00:00,1,8,6,68,203.5,4,3
